"action","agency_names","comment_url","comments_close_on","effective_on","html_url","pdf_url","publication_date","signing_date","title","topics","abstract"
"60-Day notice and request for comments; extension of an existing collection of information.","Homeland Security Department; U.S. Customs and Border Protection","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06757/agency-information-collection-activities-cbp-regulations-pertaining-to-customs-brokers","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06757.pdf","04/05/2017","","Agency Information Collection Activities: CBP Regulations Pertaining to Customs Brokers","","The Department of Homeland Security, U.S. Customs and Border Protection will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995. The information collection is published in the Federal Register to obtain comments from the public and affected agencies. Comments are encouraged and will be accepted (no later than June 5, 2017) to be assured of consideration."
"","Executive Office of the President","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06946/national-financial-capability-month-2017","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06946.pdf","04/05/2017","","National Financial Capability Month, 2017","",""
"","Executive Office of the President","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06945/national-donate-life-month-2017","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06945.pdf","04/05/2017","","National Donate Life Month, 2017","",""
"","Health and Human Services Department; National Institutes of Health","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06668/national-institute-on-minority-health-and-health-disparities-notice-of-closed-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06668.pdf","04/05/2017","","National Institute on Minority Health and Health Disparities; Notice of Closed Meeting","",""
"Notice of final disposition.","Transportation Department; Federal Motor Carrier Safety Administration","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06720/qualification-of-drivers-exemption-applications-vision","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06720.pdf","04/05/2017","","Qualification of Drivers; Exemption Applications; Vision","","FMCSA announces its decision to renew exemptions for 88 individuals from the vision requirement in the Federal Motor Carrier Safety Regulations (FMCSRs) for interstate commercial motor vehicle (CMV) drivers. The exemptions enable these individuals to continue to operate CMVs in interstate commerce without meeting the vision requirement in one eye."
"Notice of public conference.","Health and Human Services Department; Food and Drug Administration","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06699/food-and-drug-administrationxavier-university-medical-device-conference-medcon","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06699.pdf","04/05/2017","","Food and Drug Administration/Xavier University Medical Device Conference (MedCon)","","The Food and Drug Administration (FDA) Cincinnati District, in co-sponsorship with Xavier University, is announcing a public conference entitled ``FDA/Xavier University Medical Device Conference (MedCon).'' This 3-day public conference includes presentations from key FDA officials and industry experts with small group break-out sessions. The conference is intended for companies of all sizes and employees at all levels."
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06686/self-regulatory-organizations-bats-bzx-exchange-inc-notice-of-designation-of-a-longer-period-for","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06686.pdf","04/05/2017","03/30/2017","Self-Regulatory Organizations; Bats BZX Exchange, Inc.; Notice of Designation of a Longer Period for Commission Action on Proposed Rule Change, as Modified by Amendment No. 1, To List and Trade Under BZX Rule 14.11(c)(4) the Shares of the VanEck Vectors AMT-Free National Municipal Index ETF of VanEck Vectors ETF Trust","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06684/self-regulatory-organizations-the-nasdaq-stock-market-llc-notice-of-filing-and-immediate","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06684.pdf","04/05/2017","03/30/2017","Self-Regulatory Organizations; The NASDAQ Stock Market LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend Nasdaq Rule 5710","",""
"","State Department","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06653/in-the-matter-of-the-designation-of-sami-bashur-bouras-also-known-as-wakrici-also-known-as-khadim-as","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06653.pdf","04/05/2017","","In the Matter of the Designation of Sami Bashur Bouras; Also Known as Wakrici; Also Known as Khadim; as a Specially Designated Global Terrorist pursuant to Section 1(b) of Executive Order 13224, as Amended","",""
"","Federal Reserve System","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06729/change-in-bank-control-notices-acquisitions-of-shares-of-a-bank-or-bank-holding-company","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06729.pdf","04/05/2017","","Change in Bank Control Notices; Acquisitions of Shares of a Bank or Bank Holding Company","",""
"","Federal Reserve System","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06661/formations-of-acquisitions-by-and-mergers-of-bank-holding-companies","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06661.pdf","04/05/2017","","Formations of, Acquisitions by, and Mergers of Bank Holding Companies","",""
"","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06674/disease-disability-and-injury-prevention-and-control-special-emphasis-panel-sep-initial-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06674.pdf","04/05/2017","","Disease, Disability, and Injury Prevention and Control Special Emphasis Panel (SEP): Initial Review","",""
"Notice of open meeting.","Commerce Department; National Telecommunications and Information Administration","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06736/commerce-spectrum-management-advisory-committee-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06736.pdf","04/05/2017","","Commerce Spectrum Management Advisory Committee Meeting","","This notice announces a public meeting of the Commerce Spectrum Management Advisory Committee (Committee). The Committee provides advice to the Assistant Secretary of Commerce for Communications and Information and the National Telecommunications and Information Administration (NTIA) on spectrum management policy matters."
"","Federal Reserve System","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06730/formations-of-acquisitions-by-and-mergers-of-bank-holding-companies","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06730.pdf","04/05/2017","","Formations of, Acquisitions by, and Mergers of Bank Holding Companies","",""
"Notice.","Council on Environmental Quality","","","04/05/2017","https://www.federalregister.gov/documents/2017/04/05/2017-06770/withdrawal-of-final-guidance-for-federal-departments-and-agencies-on-consideration-of-greenhouse-gas","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06770.pdf","04/05/2017","","Withdrawal of Final Guidance for Federal Departments and Agencies on Consideration of Greenhouse Gas Emissions and the Effects of Climate Change in National Environmental Policy Act Reviews","","The Council on Environmental Quality (CEQ) is withdrawing its ``Final Guidance for Federal Departments and Agencies on Consideration of Greenhouse Gas Emissions and the Effects of Climate Change in National Environmental Policy Act Reviews,'' for which a Notice of Availability was published on August 5, 2016. 81 FR 51866."
"","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06673/disease-disability-and-injury-prevention-and-control-special-emphasis-panel-sep-initial-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06673.pdf","04/05/2017","","Disease, Disability, and Injury Prevention and Control Special Emphasis Panel (SEP): Initial Review","",""
"Notice of meeting.","Defense Department; Office of the Secretary","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06739/industry-information-day","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06739.pdf","04/05/2017","","Industry Information Day","","DoD is hosting an ``Industry Information Day'' to present a briefing, and receive and address industry feedback on the implementation of Defense Federal Acquisition Regulation Supplement (DFARS) Case 2013-D018, ``Network Penetration Reporting and Contracting for Cloud Services.''"
"Notice.","Health and Human Services Department; Food and Drug Administration","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06701/determination-that-cedax-ceftibuten-dihydrate-for-oral-suspension-90-milligrams5-milliliters-and-180","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06701.pdf","04/05/2017","","Determination That CEDAX (Ceftibuten Dihydrate) for Oral Suspension, 90 Milligrams/5 Milliliters and 180 Milligrams/5 Milliliters, Were Not Withdrawn From Sale for Reasons of Safety or Effectiveness","","The Food and Drug Administration (FDA or Agency) has determined that CEDAX (ceftibuten dihydrate) for oral suspension, 90 milligrams (mg)/5 milliliters (mL) and 180 mg/5 mL, were not withdrawn from sale for reasons of safety or effectiveness. This determination will allow FDA to approve abbreviated new drug applications (ANDAs) for ceftibuten dihydrate for oral suspension, 90 mg/5 mL and 180 mg/5 mL, if all other legal and regulatory requirements are met."
"","Federal Maritime Commission","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06734/notice-of-agreements-filed","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06734.pdf","04/05/2017","","Notice of Agreements Filed","",""
"Notice.","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06670/announcement-of-requirements-and-registration-for-million-hearts-hypertension-control-challenge","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06670.pdf","04/05/2017","","Announcement of Requirements and Registration for Million Hearts® Hypertension Control Challenge","","The Centers for Disease Control and Prevention (CDC) located within the Department of Health and Human Services (HHS) announces the launch of the Million Hearts[supreg] Hypertension Control Challenge. Million Hearts[supreg] is a national initiative to prevent one million heart attacks and strokes by 2022. Achieving this goal means 10 million more Americans must have their blood pressure under control. Million Hearts[supreg] is working to control high blood pressure through clinical approaches, such as using health information technology to its fullest potential and integrating team-based approaches to health care, and community approaches, such as strengthening tobacco control and promoting physical activity. For more information about the initiative, visit https://millionhearts.hhs.gov/. To support improved blood pressure control, HHS/CDC is announcing the 2017 Million Hearts[supreg] Hypertension Control Challenge. The challenge will improve understanding of successful implementation strategies at the health system level by motivating clinical practices and health systems to strengthen their hypertension control efforts. It will identify clinicians, clinical practices, and health systems that have exceptional rates of hypertension control and recognize them as Million Hearts[supreg] Hypertension Control Champions. To support improved quality of care delivered to patients with hypertension, Million Hearts[supreg] will document the systems, strategies, processes, and staffing that contribute to the exceptional blood pressure control rates achieved by Champions."
"","Health and Human Services Department; Substance Abuse and Mental Health Services Administration","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06724/agency-information-collection-activities-proposed-collection-comment-request","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06724.pdf","04/05/2017","","Agency Information Collection Activities: Proposed Collection; Comment Request","",""
"60-Day notice and request for comments; extension of an existing collection of information.","Homeland Security Department; U.S. Customs and Border Protection","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06758/agency-information-collection-activities-cost-submission","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06758.pdf","04/05/2017","","Agency Information Collection Activities: Cost Submission","","The Department of Homeland Security, U.S. Customs and Border Protection will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995. The information collection is published in the Federal Register to obtain comments from the public and affected agencies. Comments are encouraged and will be accepted (no later than June 5, 2017) to be assured of consideration."
"","Health and Human Services Department; National Institutes of Health","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06667/national-institute-of-diabetes-and-digestive-and-kidney-diseases-notice-of-closed-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06667.pdf","04/05/2017","","National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Closed Meeting","",""
"Final notice.","Homeland Security Department; Federal Emergency Management Agency","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06676/changes-in-flood-hazard-determinations","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06676.pdf","04/05/2017","","Changes in Flood Hazard Determinations","","New or modified Base (1-percent annual chance) Flood Elevations (BFEs), base flood depths, Special Flood Hazard Area (SFHA) boundaries or zone designations, and/or regulatory floodways (hereinafter referred to as flood hazard determinations) as shown on the indicated Letter of Map Revision (LOMR) for each of the communities listed in the table below are finalized. Each LOMR revises the Flood Insurance Rate Maps (FIRMs), and in some cases the Flood Insurance Study (FIS) reports, currently in effect for the listed communities. The flood hazard determinations modified by each LOMR will be used to calculate flood insurance premium rates for new buildings and their contents."
"","Commerce Department; International Trade Administration","","","04/05/2017","https://www.federalregister.gov/documents/2017/04/05/2017-06727/certain-crystalline-silicon-photovoltaic-products-from-the-peoples-republic-of-china-and-from-taiwan","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06727.pdf","04/05/2017","","Certain Crystalline Silicon Photovoltaic Products From the People's Republic of China and From Taiwan: Final Results of Changed Circumstances Reviews, and Revocation of Antidumping Duty Orders and Countervailing Duty Order, in Part","","On February 16, 2017, the Department of Commerce (the ``Department'') published its preliminary results of changed circumstances reviews (``CCRs'') and intent to revoke, in part, the antidumping duty (``AD'') and countervailing duty (``CVD'') orders on certain crystalline silicon photovoltaic products from the People's Republic of China (``PRC'') and the AD order on certain crystalline silicon photovoltaic products from Taiwan (collectively the ``Orders'') with respect to certain solar panels. Specifically, the Department preliminarily determined that the producers accounting for substantially all of the production of the domestic like product to which the Orders pertain lacked interest in the relief provided by the Orders with respect to certain solar panels that are incorporated in the battery charging and maintaining units described below. We invited interested parties to comment on the preliminary results. No party submitted comments. For the final results of these CCRs, the Department is revoking, in part, the Orders as to imports of certain solar panels that are incorporated in the battery charging and maintaining units described below."
"","Federal Reserve System","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06660/change-in-bank-control-notices-acquisitions-of-shares-of-a-bank-or-bank-holding-company","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06660.pdf","04/05/2017","","Change in Bank Control Notices; Acquisitions of Shares of a Bank or Bank Holding Company","",""
"","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06675/disease-disability-and-injury-prevention-and-control-special-emphasis-panel-sep-initial-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06675.pdf","04/05/2017","","Disease, Disability, and Injury Prevention and Control Special Emphasis Panel (SEP): Initial Review","",""
"Notice of public meeting and webinar/conference call.","Commerce Department; National Oceanic and Atmospheric Administration","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06717/atlantic-highly-migratory-species-meeting-of-the-atlantic-highly-migratory-species-advisory-panel","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06717.pdf","04/05/2017","","Atlantic Highly Migratory Species; Meeting of the Atlantic Highly Migratory Species Advisory Panel","","NMFS will hold a 3-day Atlantic Highly Migratory Species (HMS) Advisory Panel (AP) meeting in May 2017. The intent of the meeting is to consider options for the conservation and management of Atlantic HMS. The meeting is open to the public."
"","Health and Human Services Department; National Institutes of Health","","","","https://www.federalregister.gov/documents/2017/04/05/2017-06666/national-institute-of-biomedical-imaging-and-bioengineering-notice-of-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-05/pdf/2017-06666.pdf","04/05/2017","","National Institute of Biomedical Imaging and Bioengineering; Notice of Meeting","",""
"Notice of open meeting.","Commerce Department; National Institute of Standards and Technology","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06776/manufacturing-extension-partnership-advisory-board","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06776.pdf","04/06/2017","","Manufacturing Extension Partnership Advisory Board","","The National Institute of Standards and Technology (NIST) announces that the Manufacturing Extension Partnership (MEP) Advisory Board will hold an open meeting on April 30, 2017."
"","Commerce Department; Foreign-Trade Zones Board","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06831/approval-of-subzone-status-orgill-inc-post-falls-idaho","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06831.pdf","04/06/2017","","Approval of Subzone Status; Orgill, Inc.; Post Falls, Idaho","",""
"","Commerce Department; International Trade Administration","","","04/06/2017","https://www.federalregister.gov/documents/2017/04/06/2017-06849/circular-welded-carbon-steel-pipes-and-tubes-from-thailand-preliminary-results-of-antidumping-duty","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06849.pdf","04/06/2017","","Circular Welded Carbon Steel Pipes and Tubes From Thailand: Preliminary Results of Antidumping Duty Administrative Review and Preliminary Finding of No Shipments; 2015-2016","","The Department of Commerce (the Department) is conducting an administrative review of the antidumping duty order on circular welded carbon steel pipes and tubes (pipes and tubes) from Thailand, covering the period of review (POR) March 1, 2015, through February 29, 2016. This review covers two manufacturers/exporters of the subject merchandise, Saha Thai Steel Pipe (Public) Company, Ltd. (Saha Thai) and Pacific Pipe Public Company Limited (Pacific Pipe). The Department preliminarily determines that Saha Thai sold subject merchandise at less than normal value (NV) during the POR and that Pacific Pipe had no shipments during the POR. Interested parties are invited to comment on these preliminary results."
"Announcement of meetings.","Civil Rights Commission","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06852/agenda-and-notice-of-public-meeting-of-the-south-dakota-advisory-committee","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06852.pdf","04/06/2017","","Agenda and Notice of Public Meeting of the South Dakota Advisory Committee","","Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission), and the Federal Advisory Committee Act (FACA), that an orientation and planning meeting of the South Dakota Advisory Committee to the Commission will convene at 2:00 p.m. (MST) on Thursday, April 20, 2017, via teleconference. The purpose of the meeting is a discussion, post- briefing, on the topic, ``The Subtle Effects of Racism in South Dakota'' that was held in Aberdeen, SD, on Friday, March 24, 2017. The committee will also discuss which city and approximate date they would like to hold their second of three briefings throughout the state on the topic of the subtle effects of racism."
"","Commerce Department; Industry and Security Bureau","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06819/in-the-matter-of-juan-jose-estrada-inmate-number-53358-379-big-spring-correctional-institution-2001","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06819.pdf","04/06/2017","","In the Matter of: Juan Jose Estrada, Inmate Number: 53358-379, Big Spring, Correctional Institution, 2001 Rickabaugh Drive, Big Spring, TX 79720; Order Denying Export Privileges","",""
"Notice and Opportunity for Public Comment.","Commerce Department; Economic Development Administration","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06815/notice-of-petitions-by-firms-for-determination-of-eligibility-to-apply-for-trade-adjustment","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06815.pdf","04/06/2017","","Notice of Petitions by Firms for Determination of Eligibility To Apply for Trade Adjustment Assistance","",""
"","Commerce Department; Foreign-Trade Zones Board","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06833/foreign-trade-zone-37-orange-county-new-york-application-for-subzone-expeditors-international-of","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06833.pdf","04/06/2017","","Foreign-Trade Zone 37-Orange County, New York; Application for Subzone; Expeditors International of Washington, Inc.; Inwood, New York","",""
"","Commerce Department; Foreign-Trade Zones Board","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06834/foreign-trade-zone-ftz-43-battle-creek-michigan-notification-of-proposed-production-activity-mead","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06834.pdf","04/06/2017","","Foreign-Trade Zone (FTZ) 43-Battle Creek, Michigan Notification of Proposed Production Activity, Mead Johnson & Company, LLC, dba Mead Johnson Nutritional, Subzone 43B, (Infant Formula/Nutritional Products), Zeeland, Michigan","",""
"Announcement of monthly planning meeting.","Civil Rights Commission","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06780/agenda-and-notice-of-public-meeting-of-the-maine-advisory-committee","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06780.pdf","04/06/2017","","Agenda and Notice of Public Meeting of the Maine Advisory Committee","","Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission), and the Federal Advisory Committee Act (FACA) that a meeting of the Maine Advisory Committee to the Commission will convene by conference call at 1:30 p.m. (EDT) on Tuesday, April 18, 2017. The purpose of the meeting is to discuss potential panelists for the briefing on its project regarding the criminalization of the mentally ill and other details related to its briefing to be held in Lewiston in June 2017."
"","Chemical Safety and Hazard Investigation Board","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06981/sunshine-act-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06981.pdf","04/06/2017","","Sunshine Act Meeting","",""
"","Commerce Department; Industry and Security Bureau","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06812/in-the-matter-of-song-ii-kim-aka-kim-song-il-inmate-number-07778-122-moshannon-valley-correctional","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06812.pdf","04/06/2017","","In the Matter of: Song II Kim, a/k/a Kim Song Il, Inmate Number-07778-122, Moshannon Valley, Correctional Institution, 555 Geo Drive, Philipsburg, PA 16866; Order Denying Export Privileges","",""
"","Commerce Department; International Trade Administration","","","04/06/2017","https://www.federalregister.gov/documents/2017/04/06/2017-06822/polyethylene-retail-carrier-bags-from-malaysia-preliminary-results-of-antidumping-duty","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06822.pdf","04/06/2017","","Polyethylene Retail Carrier Bags From Malaysia: Preliminary Results of Antidumping Duty Administrative Review; 2015-2016","","The Department of Commerce (``Department'') is conducting an administrative review of the antidumping duty order on Polyethylene Retail Carrier Bags (``PRCBs'') from Malaysia, covering the period of review (``POR'') August 1, 2015, through July 31, 2016. The review covers one producer/exporter of subject merchandise, Euro SME Sdn Bhd (``Euro SME''). The Department preliminarily determines that Euro SME did not have reviewable entries during the POR. We invite interested parties to comment on these preliminary results."
"","Commerce Department; International Trade Administration","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06823/rutgers-university-et-al-notice-of-consolidated-decision-on-applications-for-duty-free-entry-of","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06823.pdf","04/06/2017","","Rutgers University, et al.; Notice of Consolidated Decision on Applications for Duty-Free Entry of Electron Microscope","",""
"","Commerce Department; International Trade Administration","","","04/06/2017","https://www.federalregister.gov/documents/2017/04/06/2017-06832/certain-cut-to-length-carbon-quality-steel-plate-from-india-indonesia-and-the-republic-of-korea","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06832.pdf","04/06/2017","","Certain Cut-to-Length Carbon-Quality Steel Plate From India, Indonesia, and the Republic of Korea: Final Results of Expedited Third Sunset Reviews of Countervailing Duty Orders","","The Department of Commerce (Department) finds that revocation of the countervailing duty (CVD) orders on certain cut-to-length carbon-quality steel plate from India, Indonesia, and the Republic of Korea (Korea) would be likely to lead to continuation or recurrence of a countervailable subsidy at the levels indicated in the ``Final Results of Reviews'' section of this notice."
"","Commerce Department; Industry and Security Bureau","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06810/in-the-matter-of-amin-al-baroudi-aka-abu-al-jud-inmate-number-87450-083-fci-victorville-medium-ii","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06810.pdf","04/06/2017","","In the Matter of: Amin Al-Baroudi, a/k/a Abu al-Jud, Inmate Number: 87450-083, FCI Victorville Medium II, Federal Correctional Institution, P.O. Box 3850, Adelanto, CA 92301; Order Denying Export Privileges","",""
"","Commerce Department; International Trade Administration","","","04/06/2017","https://www.federalregister.gov/documents/2017/04/06/2017-06828/certain-stainless-steel-wire-rods-from-india-final-results-of-the-expedited-fourth-sunset-review-of","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06828.pdf","04/06/2017","","Certain Stainless Steel Wire Rods From India: Final Results of the Expedited Fourth Sunset Review of the Antidumping Duty Order","","As a result of this review, the Department of Commerce (the Department) finds that revocation of the antidumping duty (AD) order on certain stainless steel wire rods from India (wire rods) would likely lead to a continuation or recurrence of dumping at the margins identified in the ``Final Results of Review'' section of this notice."
"","Commerce Department; Industry and Security Bureau","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06811/in-the-matter-of-sihai-cheng-aka-alex-cheng-aka-chun-hai-cheng-inmate-number-96454-038-fci-terminal","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06811.pdf","04/06/2017","","In the Matter of: Sihai Cheng, a/k/a Alex Cheng, a/k/a Chun Hai Cheng, Inmate Number: 96454-038, FCI Terminal Island, Federal Correctional Institution, P.O. Box 3007, San Pedro, CA 90733; Order Denying Export Privileges","",""
"","Commerce Department; International Trade Administration","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06824/lafayette-college-notice-of-decision-on-application-for-duty-free-entry-of-scientific-instruments","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06824.pdf","04/06/2017","","Lafayette College; Notice of Decision on Application for Duty-Free Entry of Scientific Instruments","",""
"Correcting amendment.","Health and Human Services Department; Centers for Medicare & Medicaid Services","","","04/06/2017","https://www.federalregister.gov/documents/2017/04/06/2017-06903/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06903.pdf","04/06/2017","","Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Organ Procurement Organization Reporting and Communication; Transplant Outcome Measures and Documentation Requirements; Electronic Health Record (EHR) Incentive Programs; Payment to Nonexcepted Off-Campus Provider-Based Department of a Hospital; Hospital Value-Based Purchasing (VBP) Program; Establishment of Payment Rates Under the Medicare Physician Fee Schedule for Nonexcepted Items and Services Furnished by an Off-Campus Provider-Based Department of a Hospital; Correcting Amendment","Administrative practice and procedure; Health facilities; Health maintenance organizations (HMO); Health professions; Health records; Medicaid; Medicare; Penalties; Reporting and recordkeeping requirements","In the November 14, 2016 issue of the Federal Register (81 FR 79562), we published a final rule with comment period entitled ``Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Organ Procurement Organization Reporting and Communication; Transplant Outcome Measures and Documentation Requirements; Electronic Health Record (EHR) Incentive Programs; Payment to Nonexcepted Off-Campus Provider-Based Department of a Hospital; Hospital Value-Based Purchasing (VBP) Program; Establishment of Payment Rates under the Medicare Physician Fee Schedule for Nonexcepted Items and Services Furnished by an Off-Campus Provider-Based Department of a Hospital'' that made changes to the demonstration of meaningful use criteria under Sec. 495.40. This correcting amendment corrects a technical error in Sec. 495.40 resulting from an error in that final rule with comment period."
"Notice.","State Department","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06863/plenary-meeting-of-the-binational-bridges-and-border-crossings-group-in-washington-dc","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06863.pdf","04/06/2017","","Plenary Meeting of the Binational Bridges and Border Crossings Group in Washington, DC","","Delegates from the United States and Mexican governments, the states of California, Arizona, Texas, and New Mexico, and the Mexican states of Baja California, Sonora, Chihuahua, Coahuila, Nuevo Leon, and Tamaulipas will participate in a plenary meeting of the U.S.-Mexico Binational Bridges and Border Crossings Group on Wednesday, May 24, 2017 in Washington, DC. The purpose of this meeting is to discuss operational matters involving existing and proposed international bridges and border crossings and their related infrastructure and to exchange technical information as well as views on policy. This meeting will include a public session on Wednesday, May 24, 2017, from 8:30 a.m. until 11:30 a.m. This session will allow proponents of proposed bridges and border crossings and related projects to make presentations to the delegations and members of the public."
"","Commerce Department; International Trade Administration","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06825/applications-for-duty-free-entry-of-scientific-instruments","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06825.pdf","04/06/2017","","Application(s) for Duty-Free Entry of Scientific Instruments","",""
