"action","agency_names","comment_url","comments_close_on","effective_on","html_url","pdf_url","publication_date","signing_date","title","topics","abstract"
"Proposed rule.","Federal Communications Commission","http://www.regulations.gov/#!submitComment;D=FCC-2017-0090-0001","5/9/2017",NA,"https://www.federalregister.gov/documents/2017/03/10/2017-04713/authorizing-permissive-use-of-the-next-generation-broadcast-television-standard","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04713.pdf","3/10/2017",NA,"Authorizing Permissive Use of the “Next Generation” Broadcast Television Standard","Communications equipment; Television","In this document, the Commission proposes to authorize television broadcasters to use the ``Next Generation'' broadcast television transmission standard associated with recent work of the Advanced Television Systems Committee on a voluntary, market-driven basis, while they continue to deliver current-generation digital television broadcast service, using the ATSC 1.0 standard, to their viewers. This new standard has the potential to greatly improve broadcast signal reception and will enable broadcasters to offer enhanced and innovative new features to consumers."
"Notice of completeness of recertification application and announcement of end of public comment period.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA-HQ-OAR-2014-0609-0044","4/10/2017","10/10/2014","https://www.federalregister.gov/documents/2017/03/10/2017-04800/notification-of-completeness-of-the-department-of-energys-compliance-recertification-application-for","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04800.pdf","3/10/2017",NA,"Notification of Completeness of the Department of Energy's Compliance Recertification Application for the Waste Isolation Pilot Plant",NA,"The Environmental Protection Agency (EPA or ``the Agency'') has determined that the Department of Energy's (DOE) Compliance Recertification Application (CRA or ``application'') for the Waste Isolation Pilot Plant (WIPP) is complete. The EPA provided written notice of the completeness decision to the Secretary of Energy on January 13, 2017. The text of the letter is contained in the SUPPLEMENTARY INFORMATION. The Agency has determined that the application is complete, in accordance with EPA regulations. The completeness determination is an administrative step that is required by regulation, and it does not imply in any way that the CRA demonstrates compliance with the Compliance Certification Criteria or the disposal regulations. The EPA is now engaged in the full technical review that will determine if the WIPP remains in compliance with the disposal regulations. As required by the 1992 WIPP Land Withdrawal Act and its implementing regulations, the EPA will make a final recertification decision within six months of issuing the completeness letter to the Secretary of Energy."
"Proposed rule.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA_FRDOC_0001-20395","4/10/2017",NA,"https://www.federalregister.gov/documents/2017/03/10/2017-04689/approval-of-california-air-plan-revisions-antelope-valley-air-quality-management-district","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04689.pdf","3/10/2017",NA,"Approval of California Air Plan Revisions, Antelope Valley Air Quality Management District","Air pollution control; Environmental protection; Intergovernmental relations; Nitrogen dioxide; Ozone; Reporting and recordkeeping requirements; Volatile organic compounds","The Environmental Protection Agency (EPA) is proposing to approve a revision to the Antelope Valley Air Quality Management District (AVAQMD) portion of the California State Implementation Plan (SIP). This revision concerns emissions of volatile organic compounds (VOCs) and oxides of nitrogen (NO<INF>X</INF>) from passenger vehicles. We are proposing to approve a local rule to regulate these emission sources under the Clean Air Act (CAA or the Act). We are taking comments on this proposal and plan to follow with a final action."
"Proposed rule.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA_FRDOC_0001-20393","4/10/2017",NA,"https://www.federalregister.gov/documents/2017/03/10/2017-04777/approval-of-nevada-air-plan-revisions-clark-county-department-of-air-quality-and-washoe-county","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04777.pdf","3/10/2017",NA,"Approval of Nevada Air Plan Revisions, Clark County Department of Air Quality and Washoe County Health District","Air pollution control; Environmental protection; Intergovernmental relations; Particulate matter; Reporting and recordkeeping requirements","The Environmental Protection Agency (EPA) is proposing to approve revisions to the Clark County Department of Air Quality and Washoe County Health District portions of the Nevada State Implementation Plan. These revisions concern emissions of particulate matter from fugitive dust. We are proposing to approve local rules to regulate these emission sources under the Clean Air Act. We are taking comments on this proposal and plan to follow with a final action."
"Proposed rule.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA-R05-OAR-2015-0842-0001","4/10/2017",NA,"https://www.federalregister.gov/documents/2017/03/10/2017-04691/air-plan-approval-minnesota-sulfur-dioxide-particulate-matter","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04691.pdf","3/10/2017",NA,"Air Plan Approval; Minnesota; Sulfur Dioxide; Particulate Matter",NA,"The Environmental Protection Agency (EPA) is proposing to approve a revision to the Minnesota sulfur dioxide (SO<INF>2</INF>) and particulate matter of less than 10 microns (PM<INF>10</INF>) State Implementation Plans (SIPs) as submitted on December 11, 2015. The revision will update the Rochester SO<INF>2</INF> and Olmsted County PM<INF>10</INF> maintenance plans to reflect changes in available controls, operating practices, and cleaner fuel options that have resulted in significant reductions of SO<INF>2</INF> and PM<INF>10</INF> emissions in the maintenance areas. EPA is also proposing to approve the removal of existing title I SO<INF>2</INF> SIP conditions for six facilities from the SO<INF>2</INF> SIP, and the state's evaluation that such changes ensure continued attainment of the SO<INF>2</INF> National Ambient Air Quality Standards (NAAQS)."
"Proposed rule.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA-R06-OAR-2013-0615-0001","4/10/2017",NA,"https://www.federalregister.gov/documents/2017/03/10/2017-04734/approval-and-promulgation-of-implementation-plans-new-mexico-albuquerquebernalillo-county-new-source","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04734.pdf","3/10/2017",NA,"Approval and Promulgation of Implementation Plans; New Mexico; Albuquerque/Bernalillo County; New Source Review (NSR) Preconstruction Permitting Program","Air pollution control; Carbon monoxide; Environmental protection; Intergovernmental relations; Lead; Nitrogen dioxide; Ozone; Particulate matter; Reporting and recordkeeping requirements; Sulfur oxides; Volatile organic compounds","Pursuant to the Federal Clean Air Act (the Act or CAA), the Environmental Protection Agency (EPA) is proposing to approve portions of revisions to the applicable New Source Review (NSR) State Implementation Plan (SIP) for the City of Albuquerque-Bernalillo County. Additionally, the EPA is proposing to conditionally approve the provisions establishing accelerated review and technical permit revisions. The EPA is proposing to approve the following: The establishment of a new Minor NSR (MNSR) general construction permitting program; changes to the MNSR Public Participation requirements; and the addition of exemptions from MNSR permitting for inconsequential emission sources and activities."
"Proposed rule.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA-R09-OAR-2015-0399-0001","4/10/2017",NA,"https://www.federalregister.gov/documents/2017/03/10/2017-04770/air-plan-approval-nevada-lake-tahoe-second-10-year-carbon-monoxide-limited-maintenance-plan","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04770.pdf","3/10/2017",NA,"Air Plan Approval; Nevada, Lake Tahoe; Second 10-Year Carbon Monoxide Limited Maintenance Plan",NA,"The Environmental Protection Agency (EPA) is proposing approval of a State Implementation Plan (SIP) revision submitted by the State of Nevada (``State''). On December 15, 2003, the EPA redesignated the Lake Tahoe, Nevada area (area), consisting of the Nevada portion of the Lake Tahoe basin in Nevada's Washoe, Carson City and Douglas counties, from nonattainment to attainment for the carbon monoxide (CO) national ambient air quality standards (NAAQS) and approved the State's plan addressing the area's maintenance of the CO NAAQS for ten years. On April 3, 2012, the State submitted to the EPA a second CO maintenance plan for the area that addressed maintenance of the CO NAAQS through 2024. On August 26, 2016, the State submitted a supplement to their 2012 submittal. The EPA is also proposing to approve an alternative CO monitoring strategy for the area, that the State included in their August 2016 submittal. We are making this proposal under the Clean Air Act."
"Proposed rule; public comment period and opportunity for public hearing on proposed amendment.","Interior Department; Surface Mining Reclamation and Enforcement Office","http://www.regulations.gov/#!submitComment;D=OSM_FRDOC_0001-0228","4/10/2017",NA,"https://www.federalregister.gov/documents/2017/03/10/2017-04747/pennsylvania-regulatory-program","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04747.pdf","3/10/2017",NA,"Pennsylvania Regulatory Program","Intergovernmental relations; Surface mining; Underground mining","We, the Office of Surface Mining Reclamation and Enforcement (OSMRE), are announcing receipt of a proposed amendment to the Pennsylvania program under the Surface Mining Control and Reclamation Act of 1977 (SMCRA or the Act). Through this proposed amendment, Pennsylvania seeks to revise its program to further define the implementation process for the reclamation of alternative bonding system (ABS) ``Legacy Sites'', and to clearly identify the current list of Legacy Sites, as well as sites that may qualify in the future as Legacy Sites. This document gives the times and locations that the Pennsylvania program and this proposed amendment to that program are available for your inspection, the comment period during which you may submit written comments on the amendment, and the procedures that we will follow for the public hearing, if one is requested."
"Direct final rule.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA-R09-OAR-2015-0399-0002","4/10/2017","5/9/2017","https://www.federalregister.gov/documents/2017/03/10/2017-04771/air-plan-approval-nevada-lake-tahoe-second-10-year-carbon-monoxide-limited-maintenance-plan","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04771.pdf","3/10/2017",NA,"Air Plan Approval; Nevada, Lake Tahoe; Second 10-Year Carbon Monoxide Limited Maintenance Plan","Air pollution control; Carbon monoxide; Environmental protection; Intergovernmental relations; Reporting and recordkeeping requirements","The Environmental Protection Agency (EPA) is taking direct final action to approve a state implementation plan (SIP) revision submitted by the State of Nevada (``State''). On April 3, 2012, the State of Nevada submitted to the EPA a second 10-year limited maintenance plan (LMP) for the Lake Tahoe Nevada Area (``Area'') for the carbon monoxide (CO) national ambient air quality standards (NAAQS or ``standards''). This LMP addresses maintenance of the CO NAAQS for a second 10-year period beyond the original 10-year maintenance period. On August 26, 2016, the State amended the 2012 submittal with a supplemental SIP submittal (``2016 supplement'' or ``supplement''). The EPA is also approving the 2011 emissions inventory, the 2024 projected emissions inventory and the revised alternative monitoring strategy included with the 2016 supplement. We are taking these actions under the Clean Air Act (CAA or ``Act'')."
"Direct final rule.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA-R05-OAR-2015-0842-0002","4/10/2017","5/9/2017","https://www.federalregister.gov/documents/2017/03/10/2017-04694/air-plan-approval-minnesota-sulfur-dioxide-particulate-matter","https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04694.pdf","3/10/2017",NA,"Air Plan Approval; Minnesota; Sulfur Dioxide; Particulate Matter","Air pollution control; Environmental protection; Particulate matter; Sulfur oxides","The Environmental Protection Agency (EPA) is approving a revision to the Minnesota sulfur dioxide (SO<INF>2</INF>) and particulate matter of less than 10 microns (PM<INF>10</INF>) State Implementation Plans (SIPs) as submitted on December 11, 2015. The revision will update the Rochester SO<INF>2</INF> and Olmsted County PM<INF>10</INF> maintenance plans to reflect changes in available controls, operating practices, and cleaner fuel options that have resulted in significant reductions of SO<INF>2</INF> and PM<INF>10</INF> emissions in the maintenance areas. EPA will also approve the removal of existing title I SO<INF>2</INF> SIP conditions for six facilities from the SO<INF>2</INF> SIP, and the state's evaluation that such changes ensure continued attainment of the SO<INF>2</INF> National Ambient Air Quality Standards (NAAQS)."
"Notice and request for comments.","Treasury Department",NA,"5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04821/agency-information-collection-activities-proposed-collection-comment-request-post-contract-award","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04821.pdf","3/13/2017",NA,"Agency Information Collection Activities; Proposed Collection; Comment Request; Post-Contract Award Information",NA,"The Department of the Treasury, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. The Department of the Treasury, Office of the Procurement Executive, is soliciting comments concerning on OMB Control Number 1505-0080, Post-Contract Award Information."
"Request for comments.","Treasury Department",NA,"5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04819/information-collections-for-claims-processing-and-other-purposes-under-the-terrorism-risk-insurance","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04819.pdf","3/13/2017",NA,"Information Collections for Claims Processing and Other Purposes Under the Terrorism Risk Insurance Program",NA,"The Secretary of the Treasury (Secretary) administers the Terrorism Risk Insurance Program (TRIP or Program), including the issuance of regulations and procedures regarding the Program. The Federal Insurance Office assists the Secretary in the administration of the Program. The Department of the Treasury (Treasury), as part of its continuing effort to reduce paperwork burdens, invites the general public and other Federal agencies to comment on: Approved information collections that are due for extension by the Office of Management and Budget (OMB) (under OMB 1505-0200); the extension of certain additional information collections previously approved by OMB that lapsed pending recent revisions to the Program Rules; and the approval of three new information collections that are authorized under recent revisions to the Program Rules."
"Notice of renewal of exemptions; request for comments.","Transportation Department; Federal Motor Carrier Safety Administration","http://www.regulations.gov/#!submitComment;D=FMCSA-2010-0386-0004","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04863/qualification-of-drivers-exemption-applications-diabetes","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04863.pdf","3/13/2017",NA,"Qualification of Drivers; Exemption Applications; Diabetes",NA,"FMCSA announces its decision to renew the exemptions of 130 individuals from its rule prohibiting persons with insulin-treated diabetes mellitus (ITDM) from operating commercial motor vehicles (CMVs) in interstate commerce. FMCSA has statutory authority to exempt individuals from this rule if the exemptions granted will not compromise safety. The Agency has concluded that granting these exemption renewals will provide a level of safety that is equivalent to or greater than the level of safety maintained without the exemptions for these CMV drivers."
"Notice.","Personnel Management Office","http://www.regulations.gov/#!submitComment;D=OPM_FRDOC_0001-1266","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04896/submission-for-review-letter-reply-to-request-for-information-ri-20-64-former-spouse-survivor","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04896.pdf","3/13/2017",NA,"Submission for Review: Letter Reply To Request for Information (RI 20-64); Former Spouse Survivor Annuity Election (RI 20-64A); Information on Electing a Survivor Annuity for Your Former Spouse (RI 20-64B)",NA,"The Retirement Services, Office of Personnel Management (OPM) offers the general public and other federal agencies the opportunity to comment on an extension, without change, of a currently approved information collection request (ICR), Letter Reply to Request for Information and Information on Electing a Survivor Annuity for Your Former Spouse."
"License amendment application; opportunity to comment, request a hearing, and petition for leave to intervene.","Nuclear Regulatory Commission","http://www.regulations.gov/#!submitComment;D=NRC-2017-0072-0001","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04874/dte-electric-company-fermi-unit-2","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04874.pdf","3/13/2017",NA,"DTE Electric Company; Fermi, Unit 2",NA,"The U.S. Nuclear Regulatory Commission (NRC) is considering issuance of an amendment to Renewed Facility Operating License No. NPF- 43, issued to DTE Electric Company (DTE), for operation of the Fermi, Unit 2. The proposed amendment revises technical specifications (TS) for emergency core cooling system (ECCS) instrumentation (TS 3.3.5.1) and reactor core isolation cooling (RCIC) system instrumentation (TS 3.3.5.2). The proposed changes add footnotes indicating that the injection functions of ``Drywell Pressure--High'' for high-pressure coolant injection (HPCI) and ``Manual Initiation'' for HPCI and RCIC are not required to be operable under low reactor pressure conditions."
"Submission for OMB review; comment request.","National Science Foundation","http://www.regulations.gov/#!submitComment;D=NSF_FRDOC_0001-1878","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04889/agency-information-collection-activities-comment-request","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04889.pdf","3/13/2017",NA,"Agency Information Collection Activities: Comment Request",NA,"The National Science Foundation (NSF) has submitted the following information collection requirement to OMB for review and clearance under the Paperwork Reduction Act of 1995, Public Law 104-13. This is the second notice for public comment; the first was published in the Federal Register at 81 FR 91959, and no comments were received. NSF is forwarding the proposed submission to the Office of Management and Budget (OMB) for clearance simultaneously with the publication of this second notice. The full submission (including comments) may be found at: http://www.reginfo.gov/public/do/PRAMain."
"Notice.","Justice Department",NA,"5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04886/agency-information-collection-activities-request-for-comments-revision-of-the-bjs-confidentiality","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04886.pdf","3/13/2017",NA,"Agency Information Collection Activities; Request for Comments; Revision of the BJS Confidentiality Pledge",NA,"The Bureau of Justice Statistics (BJS), a component of the Office of Justice Programs (OJP) in the U.S. Department of Justice (DOJ), is seeking comments on revisions to the confidentiality pledge it provides to its respondents. These revisions are required by the passage and implementation of provisions of the federal Cybersecurity Enhancement Act of 2015, which requires the Secretary of the Department of Homeland Security (DHS) to provide Federal civilian agencies' information technology systems with cybersecurity protection for their Internet traffic. More details on this announcement are presented in the SUPPLEMENTARY INFORMATION section below."
"Notice of application.","Justice Department; Drug Enforcement Administration",NA,"5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04875/bulk-manufacturer-of-controlled-substances-application-siemens-healthcare-diagnostics-inc","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04875.pdf","3/13/2017",NA,"Bulk Manufacturer of Controlled Substances Application: Siemens Healthcare Diagnostics, Inc.",NA,NA
"Notice of availability; request for public comments.","Interior Department; Fish and Wildlife Service",NA,"4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04845/incidental-take-permit-application-received-to-participate-in-american-burying-beetle-amended-oil","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04845.pdf","3/13/2017",NA,"Incidental Take Permit Application Received To Participate in American Burying Beetle Amended Oil and Gas Industry Conservation Plan in Oklahoma",NA,"Under the Endangered Species Act, as amended (Act), we, the U.S. Fish and Wildlife Service, invite the public to comment on an incidental take permit application for the federally listed American burying beetle. The applicant anticipates the take of American burying beetle as a result of impacts to habitat the species uses for breeding, feeding, and sheltering in Oklahoma. The take would be incidental to the applicant's activities associated with oil and gas well field and pipeline infrastructure (gathering, transmission, and distribution), including geophysical exploration (seismic), construction, maintenance, operation, repair, decommissioning, and reclamation. If approved, the permit would be issued under the approved American Burying Beetle Amended Oil and Gas Industry Conservation Plan (ICP) Endangered Species Act Section 10(a)(1)(B) Permit Issuance in Oklahoma."
"Notice of receipt of applications for permit.","Interior Department; Fish and Wildlife Service","http://www.regulations.gov/#!submitComment;D=FWS-HQ-IA-2017-0008-0001","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04868/endangered-species-receipt-of-applications-for-permit","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04868.pdf","3/13/2017",NA,"Endangered Species; Receipt of Applications for Permit",NA,"We, the U.S. Fish and Wildlife Service, invite the public to comment on the following applications to conduct certain activities with endangered species. With some exceptions, the Endangered Species Act (ESA) prohibits activities with listed species unless Federal authorization is acquired that allows such activities."
"60-Day notice and request for comments; extension of an existing collection of information.","Homeland Security Department; U.S. Customs and Border Protection",NA,"5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04898/agency-information-collection-activities-bonded-warehouse-proprietors-submission","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04898.pdf","3/13/2017",NA,"Agency Information Collection Activities: Bonded Warehouse Proprietor's Submission",NA,"U.S. Customs and Border Protection (CBP) of the Department of Homeland Security (DHS) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act: Bonded Warehouse Proprietor's Submission (CBP Form 300). CBP is proposing that this information collection be extended with a reduction to the burden hours. No change has been made to the information collected. This document is published to obtain comments from the public and affected agencies."
"60-Day notice and request for comments; extension of an existing collection of information.","Homeland Security Department; U.S. Customs and Border Protection",NA,"5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04899/agency-information-collection-activities-general-declaration","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04899.pdf","3/13/2017",NA,"Agency Information Collection Activities: General Declaration",NA,"U.S. Customs and Border Protection (CBP) of the Department of Homeland Security (DHS) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act: General Declaration (CBP Form 7507). CBP is proposing that this information collection be extended with no change to the burden hours or to the information collected. This document is published to obtain comments from the public and affected agencies."
"Notice.","Health and Human Services Department; Community Living Administration",NA,"5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04843/agency-information-collection-activities-proposed-collection-public-comment-request-proposed","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04843.pdf","3/13/2017",NA,"Agency Information Collection Activities; Proposed Collection; Public Comment Request; Proposed Extension With No Changes of a Currently Approved Collection; National Survey of Older Americans Act Participants",NA,"The Administration for Community Living (ACL) is announcing an opportunity for the public to comment on the proposed collection of certain information by the agency. Under the Paperwork Reduction Act of 1995 (the PRA), Federal agencies are required to publish a notice in the Federal Register concerning each proposed collection of information, including each proposed extension of an existing collection of information, and to allow 60 days for public comment in response to the notice. This notice solicits comments on the information collection requirements relating to consumer assessment surveys that are used by ACL to measure program performance for programs funded under Title III of the Older Americans Act. This notice solicits comments on a proposed extension with no changes of a currently approved collection."
"Notice.","Education Department","http://www.regulations.gov/#!submitComment;D=ED-2017-ICCD-0021-0001","5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04792/agency-information-collection-activities-comment-request-consolidated-state-plan","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04792.pdf","3/13/2017",NA,"Agency Information Collection Activities; Comment Request; Consolidated State Plan",NA,"In accordance with the Paperwork Reduction of 1995, ED is requesting the Office of Management and Budget (OMB) to conduct an emergency review of a new information collection."
"Notice.","Education Department","http://www.regulations.gov/#!submitComment;D=ED-2016-ICCD-0141-0004","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04791/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04791.pdf","3/13/2017",NA,"Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Grant Application Form for Project Objectives and Performance Measures Information",NA,"In accordance with the Paperwork Reduction Act of 1995, ED is proposing a new information collection."
"Notice.","Education Department","http://www.regulations.gov/#!submitComment;D=ED-2017-ICCD-0030-0001","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04860/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04860.pdf","3/13/2017",NA,"Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Application for Grants Under the Alaska Native and Native Hawaiian-Serving Institutions Program, Part A/F",NA,"In accordance with the Paperwork Reduction Act of 1995, ED is proposing a revision of an existing information collection."
"60-Day notice.","Justice Department; Federal Bureau of Investigation",NA,"5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04871/agency-information-collection-activities-proposed-ecollection-ecomments-requested-extension-with","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04871.pdf","3/13/2017",NA,"Agency Information Collection Activities; Proposed eCollection eComments Requested; Extension With Change, of a Currently Approved Collection; National Incident-Based Reporting System (NIBRS)",NA,"The Department of Justice (DOJ), Federal Bureau of Investigation (FBI), Criminal Justice Information Services Division (CJIS), will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995."
"Preliminary draft guidance; request for comment.","Nuclear Regulatory Commission","http://www.regulations.gov/#!submitComment;D=NRC-2017-0073-0001","4/27/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04873/non-light-water-reactor-security-design-considerations","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04873.pdf","3/13/2017",NA,"Non-Light Water Reactor Security Design Considerations",NA,"The U.S. Nuclear Regulatory Commission (NRC) is issuing for public comment preliminary draft guidance on non-light water reactor security design considerations. The Commission's ``Policy Statement on the Regulation of Advanced Reactors'' states that the design of advanced reactors should consider safety and security requirements together in the design process such that security issues (e.g., newly identified threats of terrorist attacks) can be effectively resolved through facility design and engineered security features, formulation of mitigation measures, and reduced reliance on human actions. The NRC's preliminary draft guidance document would set forth a set of ``security design considerations'' that a designer should consider while developing the facility design."
"Notice and request for comments.","Agriculture Department; National Agricultural Statistics Service","http://www.regulations.gov/#!submitComment;D=NASS_FRDOC_0001-0178","5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04803/notice-of-intent-to-request-revision-and-extension-of-a-currently-approved-information-collection","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04803.pdf","3/13/2017",NA,"Notice of Intent To Request Revision and Extension of a Currently Approved Information Collection",NA,"In accordance with the Paperwork Reduction Act of 1995, this notice announces the intention of the National Agricultural Statistics Service (NASS) to request revision and extension of a currently approved information collection, the Current Agricultural Industrial Reports (CAIR) program. Revision to burden hours will be needed due to changes in the size of the target population, sampling design, and questionnaire length."
"Reinstatement of an information collection; comment request.","Agriculture Department; Animal and Plant Health Inspection Service","http://www.regulations.gov/#!submitComment;D=APHIS-2017-0011-0001","5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04876/notice-of-request-for-reinstatement-of-an-information-collection-aphis-student-outreach-program","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04876.pdf","3/13/2017",NA,"Notice of Request for Reinstatement of an Information Collection; APHIS Student Outreach Program",NA,"In accordance with the Paperwork Reduction Act of 1995, this notice announces the Animal and Plant Health Inspection Service's intention to request the reinstatement of an information collection associated with the Animal and Plant Health Inspection Service's Student Outreach Program."
"Proposed rule.","Veterans Affairs Department","http://www.regulations.gov/#!submitComment;D=VA-2017-VACO-0008-0001","5/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04877/revise-and-streamline-va-acquisition-regulation-to-adhere-to-federal-acquisition-regulation","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04877.pdf","3/13/2017",NA,"Revise and Streamline VA Acquisition Regulation To Adhere to Federal Acquisition Regulation Principles (VAAR Case 2014-V002-Parts 816, 828)","Government procurement; Insurance; Reporting and recordkeeping requirements; Surety bonds","The Department of Veterans Affairs (VA) is proposing to amend and update its VA Acquisition Regulation (VAAR). Under this initiative, all parts of the regulation are being reviewed in phased increments to revise or remove any policy that has been superseded by changes in Federal Acquisition Regulation (FAR), to remove any procedural guidance that is internal to the VA, and to incorporate any new regulations or policies. Acquisition regulations become outdated over time and require updating to incorporate additional policies, solicitation provisions, or contract clauses that implement and supplement the FAR to satisfy VA mission needs, and to incorporate changes in dollar and approval thresholds, definitions, and VA position titles and offices. This Proposed Rule will correct inconsistencies, remove redundant and duplicate material already covered by the FAR, delete outdated material or information, and appropriately renumber VAAR text, clauses and provisions where required to comport with FAR format, numbering and arrangement. This Proposed Rule will streamline the VAAR to implement and supplement the FAR only when required, and remove internal agency guidance as noted above in keeping with the FAR principles concerning agency acquisition regulations."
"Proposed rule.","Federal Communications Commission","http://www.regulations.gov/#!submitComment;D=FCC-2017-0091-0001","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/03/13/2017-04988/connect-america-fund-universal-service-reform-mobility-fund","https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04988.pdf","3/13/2017",NA,"Connect America Fund; Universal Service Reform-Mobility Fund",NA,"In this document, the Commission seeks comment on the parameters for the process in determining whether areas are eligible for funding under the Mobility Fund Phase II. The Commission established the framework for the Mobility Fund Phase II in a Report and Order--adopted concurrently with the Further Notice of Proposed Rulemaking (Further Notice)--but had remaining questions regarding the process in which entities may challenge the areas eligible for support. Therefore, the Commission anticipates that additional comment will allow it to make more informed decisions on the challenge process, thereby making a more robust, targeted challenge process that efficiently resolves disputes about areas eligible for MF-II support."
